id,name,creator_name,author_name,book_name,puzzle_image,solution_image,notes
1,cross_word_1,Cole Burnham,,easy crosswords v1,cross_word_1.jpg,cross_word_1_solution.jpg,note 1
2,cross_word_2,Cole Burnham,,easy crosswords v2,cross_word_2.jpg,cross_word_2_solution.jpg,
3,cross_word_3,Cole Burnham,,easy crosswords v3,cross_word_3.jpg,cross_word_3_solution.jpg,
4,cross_word_4,Cole Burnham,,easy crosswords v4,cross_word_4.jpg,cross_word_4_solution.jpg,
5,cross_word_5,Cole Burnham,,easy crosswords v5,cross_word_5.jpg,cross_word_5_solution.jpg,
6,cross_word_6,Cole Burnham,,easy crosswords v6,cross_word_6.jpg,cross_word_6_solution.jpg,
7,cross_word_7,Cole Burnham,,easy crosswords v7,cross_word_7.jpg,cross_word_7_solution.jpg,
8,cross_word_8,Cole Burnham,,easy crosswords v8,cross_word_8.jpg,cross_word_8_solution.jpg,
9,cross_word_9,Cole Burnham,,easy crosswords v9,cross_word_9.jpg,cross_word_9_solution.jpg,
10,cross_word_10,Cole Burnham,,easy crosswords v10,cross_word_10.jpg,cross_word_10_solution.jpg,
11,cross_word_11,Cole Burnham,,easy crosswords v11,cross_word_11.jpg,cross_word_11_solution.jpg,
12,cross_word_12,Cole Burnham,,easy crosswords v12,cross_word_12.jpg,cross_word_12_solution.jpg,
13,cross_word_13,Cole Burnham,,easy crosswords v13,cross_word_13.jpg,cross_word_13_solution.jpg,
14,cross_word_14,Cole Burnham,,easy crosswords v14,cross_word_14.jpg,cross_word_14_solution.jpg,
15,cross_word_15,Cole Burnham,,easy crosswords v15,cross_word_15.jpg,cross_word_15_solution.jpg,
16,cross_word_16,Cole Burnham,,easy crosswords v16,cross_word_16.jpg,cross_word_16_solution.jpg,
17,cross_word_17,Cole Burnham,,easy crosswords v17,cross_word_17.jpg,cross_word_17_solution.jpg,
18,cross_word_18,Cole Burnham,,easy crosswords v18,cross_word_18.jpg,cross_word_18_solution.jpg,
19,cross_word_19,Cole Burnham,,easy crosswords v19,cross_word_19.jpg,cross_word_19_solution.jpg,
